fips,state,asd,notill_share,cover_share,tilled_ac,harvested_ac,herb_low_kg,herb_high_kg,glyph_low_kg,burndown_low_kg,herb_kg_ha,glyph_kg_ha,burndown_kg_ha,glyph_share,corn_sh,cornsil_sh,soy_sh,wheat_sh,cotton_sh,sorghum_sh,rice_sh,hay_sh,veg_sh,orchard_sh
1001,AL,01-40,0.45198062125961813,0.11833855799373041,14036.0,27557.0,15493.5,22840.2,5967.3,9327.7,1.3893120542009387,0.5350916075149748,0.8364208247310225,0.38514861070771617,0.023406031135464675,0.007620568276662917,0.04376383496026418,0.012120332401930544,0.3360670610008346,0.0,0.0,0.5046267735965454,0.043836411800994304,0.009580142976376238
1003,AL,01-50,0.2564163667993232,0.4680909372542478,83926.0,94301.0,135775.7,162172.80000000002,59081.7,69547.5,3.5578526359711358,1.5481708588698555,1.8224156178182291,0.4351419289313183,0.07060370515689122,0.0,0.12442073785007582,0.023032629558541268,0.12982895197293773,0.0,0.0,0.11726280739334684,0.017518372021505604,0.023573450970827456
1005,AL,01-60,0.7589536965975953,0.28427986697365054,15636.0,25231.0,27155.0,32114.6,7988.2,20234.1,2.6594850119856033,0.7823420428187587,1.9816713563254609,0.2941705026698582,0.04220997978677024,0.0,0.05291110142285284,0.01355475407237129,0.27050057468986566,0.0,0.0,0.41956323570211246,0.00241766081407792,0.02041139867623162
1009,AL,01-20,0.5963257199602781,0.4492303872889772,8056.0,31091.0,15298.7,22011.8,4729.6,11853.400000000001,1.2159117106081256,0.3758996533360476,0.942085789676401,0.30915045069188885,0.009681258241934965,0.004342092566980798,0.07304364607121032,0.0,0.08021613971888972,0.0,0.0,0.7772024058409186,0.018590588916406678,0.009938567431089384
1011,AL,01-40,0.14415954415954416,0.1339031339031339,7020.0,9931.0,4535.9,9099.3,1227.1,3042.3,1.1286328665762917,0.3053297891434484,0.7569919464681877,0.2705306554377301,0.13009767395025676,0.0,0.02718759440136945,0.0,0.0,0.0,0.0,0.6711308025375088,0.006041687644748766,0.04682307924680294
1015,AL,01-20,0.7399193548387096,0.03446620583717358,10416.0,23251.0,11363.2,19858.4,6167.0,9613.5,1.2076503680218889,0.6554121919521779,1.0216969527050854,0.5427168403266686,0.017891703582641607,0.0,0.10876951528966496,0.014106920132467421,0.24962367210012473,0.0,0.0,0.5709431852393445,0.003870801255859963,0.0031826588103737474
1031,AL,01-60,0.3015073689864706,0.1519454795716252,29787.0,44949.0,51825.1,62404.6,17898.3,35598.6,2.8490647411675436,0.9839520899494462,1.9570192068115049,0.3453596809268096,0.05154730917261786,0.00398229104095753,0.0233153129101871,0.0,0.28094062159336136,0.0,0.0,0.35822821419831363,0.0022469910342832987,0.007808850030034039
1033,AL,01-10,0.7093312666736218,0.004664888147011044,67097.0,78341.0,84547.0,107069.4,27633.0,49674.6,2.6668052088822494,0.8716078434130506,1.5668501783521849,0.32683596106307733,0.2827127557728393,0.0,0.345234296217817,0.25291992698586946,0.06636371759359722,0.0,0.0,0.14944920284397697,0.0005744118660726823,0.0
1035,AL,01-50,0.1917010275541593,0.3183454414555926,15279.0,21575.0,28745.1,35078.2,12434.8,16217.2,3.292268320190876,1.4241974495795633,1.8574078295848502,0.4325885107374822,0.0633603707995365,0.0,0.008111239860950173,0.0,0.5250521436848204,0.0,0.0,0.3336268829663963,0.002502896871378911,0.003151796060254925
1039,AL,01-60,0.29114060645300527,0.4524657386424949,27801.0,42276.0,47608.799999999996,57281.799999999996,17108.1,33560.0,2.782758701200204,0.9999771919477746,1.961599158396743,0.3593474315672733,0.053127069732235785,0.014381682278361245,0.028266628820134355,0.007640268710379411,0.3167281672816728,0.0,0.0,0.34130475920143816,0.0018923266155738481,0.03072665342038036
1043,AL,01-20,0.8872065067266868,0.23249271062458438,19549.0,48864.0,20286.5,29805.600000000002,7518.8,16577.1,1.0258888591056095,0.3802259213685582,0.8383043997870306,0.3706307150075173,0.08765144073346431,0.023125409299279632,0.18447118533071383,0.01356827111984283,0.0,0.0,0.0,0.6420063850687623,0.025908644400785854,0.0038883431565160443
1045,AL,01-60,0.17535942911113442,0.141847693007311,28587.0,34404.0,35187.4,41244.2,12011.3,22765.5,2.5273212126025273,0.8627069144333691,1.6351231141119502,0.34135230224455343,0.05595279618648994,0.007964190210440647,0.025636553889082665,0.01537611905592373,0.3097314265783048,0.0,0.0,0.19276828275781885,0.0008138588536216719,0.010522032321823045
1047,AL,01-40,0.25550426136363635,0.2095614346590909,45056.0,54831.0,32265.4,50341.0,12295.0,19107.9,1.4540960360363075,0.5540954323537411,0.86113054996926,0.3810583473318167,0.25306851963305427,0.0,0.11418722985172622,0.0,0.2577556491765607,0.0,0.0,0.3068884390217213,0.006784483230289435,0.0035199066221662926
1049,AL,01-20,0.7305286804686901,0.06726571873484288,39173.0,72653.0,36765.600000000006,61583.600000000006,17234.4,28175.800000000003,1.250461455530978,0.5861716634354692,0.9583075450624968,0.46876427965271883,0.18804454048697233,0.0,0.21221422377603127,0.005354217995127524,0.02094889405805679,0.0,0.0,0.5438866942865401,0.013309842676833716,0.0008533715056501452
1051,AL,01-40,0.6786552828175026,0.022785485592315902,18740.0,27354.0,18209.300000000003,25666.2,7055.8,10745.900000000001,1.6449572357790652,0.6373934892725106,0.9707427501308813,0.3874833189633868,0.09091906119763106,0.0,0.026540908093880235,0.0,0.5043138115083717,0.0,0.0,0.334283834174161,0.004971850552021642,0.0027418293485413467
1053,AL,01-50,0.07489082969432315,0.0791703056768559,45800.0,46422.0,114152.59999999999,137985.6,50752.2,57578.4,6.076369343946563,2.7015513638571944,3.064911571295729,0.4445995973810496,0.0563095084227306,0.0,0.06219034078669596,0.007044073930464004,0.42247210374391453,0.0,0.0,0.11686269441213218,0.0007539528671750463,0.003425100168023782
1057,AL,01-30,0.8400577855742442,0.05861108244763182,9691.0,16734.0,23006.3,30802.0,11498.0,15608.6,3.3972633785395283,1.6978712059934669,2.304869760468745,0.4997761482724297,0.04302617425600574,0.0,0.05204971913469583,0.003286721644555994,0.3442093940480459,0.0,0.0,0.44699414365961515,0.0037050316720449385,0.0005975857535556352
1059,AL,01-10,0.847513009802735,0.14679898342006537,8263.0,25285.0,22298.6,26633.2,3516.7,16253.7,2.1791987578341834,0.34368024322941676,1.588442451553437,0.1577094526113747,0.043543602926636345,0.0,0.07589479928811549,0.022938501087601346,0.12900929404785447,0.0,0.0,0.6929800276843978,0.0013446707534111133,0.0006327862368993475
